,장소명,위도,경도,주제
0,협재관광지,33.3935073,126.2384709,관광지
1,곽지관광지,33.4499564,126.3041171,관광지
2,김녕관광지,33.5548971,126.7656156,관광지
3,절물자연휴양림,33.44004881,126.6252034,관광지
4,노루생태관찰원,33.4443253,126.6266934,관광지
5,제주별빛누리공원,33.4445529,126.5491863,관광지
6,천지연폭포,33.2447447,126.5595511,관광지
7,정방폭포,33.24474912,126.5730486,관광지
8,주상절리대,33.23799399,126.4260174,관광지
9,천제연폭포,33.2526783,126.4183754,관광지
10,산방산,33.23697818,126.312306,관광지
11,용머리해안,33.23342738,126.3136956,관광지
12,감귤박물관,33.27159304,126.6074285,관광지
13,올레길 7코스(서귀포-월평 올레)1,33.23738579,126.5153097,관광지
14,올레길 1코스(시흥-광치기 올레)2,33.47866074,126.9063665,관광지
15,올레길 6코스(쇠소깍-서귀포 올레)3,33.24127212,126.5923061,관광지
16,올레길 17코스(광령-제주원도심 올레)4,33.50563877,126.4726048,관광지
17,올레길 13코스(용수-저지 올레)5,33.32862532,126.2123034,관광지
18,올레길 18코스(제주원도심-조천 올레)6,33.5252281,126.582143,관광지
19,올레길 16코스(고내-광령 올레)7,33.46879639,126.3873677,관광지
20,올레길 5코스(남원-쇠소깍 올레)8,33.27078076,126.6674399,관광지
21,올레길 10코스(화순-모슬포 올레)9,33.21689044,126.2932099,관광지
22,올레길 8코스(월평-대평 올레)10,33.24462042,126.4139222,관광지
23,올레길 20코스(김녕-하도 올레)11,33.5542454,126.8054717,관광지
24,올레길 4코스(표선-남원 올레)12,33.30481622,126.787928,관광지
25,올레길 19코스(조천-김녕 올레)13,33.54625033,126.6890042,관광지
26,올레길 2코스(광치기-온평 올레)14,33.44248713,126.9015432,관광지
27,올레길 12코스(무릉-용수 올레)15,33.27915824,126.1906959,관광지
28,올레길 14코스(저지-한림 올레)16,33.36565954,126.2296083,관광지
29,올레길 9코스(대평-화순 올레)17,33.24267489,126.3483592,관광지
30,올레길 21코스18,33.51281075,126.8982702,관광지
31,올레길 1-1코스(우도-올레)19,33.49633806,126.9557672,관광지
32,올레길 14-1코스(저지-서광 올레)20,33.32211025,126.2859696,관광지
33,올레길 15-B코스(한림-고내 올레)21,33.4469668,126.2967484,관광지
34,올레길 15-A코스(한림-고내 올레)22,33.43275796,126.3115602,관광지
35,올레길 7-1코스(월드컵경기장-서귀포 올레)23,33.26209937,126.5232267,관광지
36,올레길 3-A코스(온평-표선 올레)24,33.37140153,126.8607518,관광지
37,올레길 18-1코스(추자도-올레)25,33.95241487,126.3127219,관광지
38,올레길 11코스(모슬포-무릉 올레)26,33.25307584,126.2582191,관광지
39,올레길 3-B코스(온평-표선 올레)27,33.36659069,126.8709674,관광지
40,올레길 10-1코스(가파도 올레)28,33.17036186,126.2710869,관광지
41,함덕해수욕장29,33.54306157,126.6692389,관광지
42,남원큰엉해변30,33.27335018,126.70371,관광지
43,성산일출봉31,33.45913497,126.9405375,관광지
44,협재해수욕장32,33.39386608,126.2391575,관광지
45,섭지코지33,33.42393807,126.9306092,관광지
46,비자림35,33.49040837,126.8099875,관광지
47,스누피가든37,33.44335922,126.7796675,관광지
48,새별오름38,33.36627759,126.3577307,관광지
49,에코랜드테마파크39,33.44833873,126.6702787,관광지
50,사려니숲길40,33.42203283,126.6264973,관광지
51,이호테우해수욕장41,33.4973768,126.4526908,관광지
52,용두암44,33.51611062,126.5119571,관광지
53,카멜리아힐45,33.28963443,126.3700095,관광지
54,제주여미지식물원,33.252417,126.414441,공원
55,생각하는정원,33.325573,126.255053,공원
56,한림공원,33.390257,126.238428,공원
57,한라수목원,33.469378,126.492892,공원
58,삼무공원,33.491767,126.491429,공원
59,스모르공원,33.241078,126.526419,공원
60,걸매생활체육공원,33.249828,126.554691,공원
61,어린이공원,33.502116,126.521914,공원
62,사라봉공원,33.51734,126.545924,공원
63,금능소공원,33.382166,126.219992,공원
64,자고내쉼터,33.379442,126.263926,공원
65,구좌중앙쉼터,33.550823,126.796914,공원
66,제주돌문화공원,33.449283,126.660978,공원
67,일도체육공원,33.503908,126.548161,공원
68,서귀포테니스공원,33.257827,126.56409,공원
69,이도근린공원,33.497159,126.543987,공원
70,수운근린공원,33.50045,126.539575,공원
71,한라산국립공원,33.392445,126.510042,공원
72,아름다운돌공원,33.468878,126.484493,공원
73,조천만세동산성역화공원,33.540572,126.641265,공원
74,샘물공원,33.540348,126.675162,공원
75,북촌돌하르방공원,33.539523,126.689286,공원
76,수산2리공원,33.439762,126.867797,공원
77,삼달리체육공원,33.387434,126.825502,공원
78,해양소공원,33.270402,126.658794,공원
79,남원2리체육공원,33.294575,126.710827,공원
80,구남모루소공원,33.299657,126.655457,공원
81,신흥2리체육공원,33.320181,126.744623,공원
82,노형미리내공원,33.459187,126.478718,공원
83,제주4점3평화공원,33.45149,126.619469,공원
84,제주어린이교통공원,33.45144,126.623206,공원
85,송당초등학교체육공원,33.470115,126.774655,공원
86,72호어린이공원,33.485741,126.430059,공원
87,72호어린이공원,33.490558,126.430109,공원
88,71번어린이공원,33.491657,126.427884,공원
89,세천동체육공원,33.270811,126.678018,공원
90,월산체육공원,33.470119,126.461857,공원
