연월,이용건수
18년 1월,164365
18년 2월,168738
18년 3월,462644
18년 4월,668614
18년 5월,929170
18년 6월,1207120
18년 7월,1100015
18년 8월,1037505
18년 9월,1447993
18년 10월,1420621
18년 11월,961532
18년 12월,500822
19년 1월,495573
19년 2월,471536
19년 3월,904788
19년 4월,1468848
19년 5월,2151064
19년 6월,2293879
19년 7월,2164086
19년 8월,2101184
19년 9월,2084222
19년 10월,2436401
19년 11월,1537269
19년 12월,882078
20년 1월,794162
20년 2월,762274
20년 3월,1533535
20년 4월,2157390
20년 5월,2480330
20년 6월,2770773
20년 7월,2581339
20년 8월,1731346
20년 9월,2805248
20년 10월,2884288
20년 11월,1984382
20년 12월,1189229
21년 1월,792606
21년 2월,1234545
21년 3월,2184228
21년 4월,3043238
21년 5월,2950150
21년 6월,3460407
21년 7월,3377506
21년 8월,3245974
21년 9월,3736657
21년 10월,3443785
21년 11월,2737291
21년 12월,1826746
22년 1월,1419866
22년 2월,1349352
22년 3월,2423766
22년 4월,3990507
22년 5월,4962837
22년 6월,4256692
22년 7월,4101123
22년 8월,3620583
22년 9월,4760527
22년 10월,4470255
22년 11월,3838549
22년 12월,1756699
